"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"HWBK","Hawthorn Bancshares, Inc.","14.553","82009604.061","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/hwbk",
"HAYN","Haynes International, Inc.","35.04","437689860.96","n/a","United States","2007","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/hayn",
"HCHC","HC2 Holdings, Inc.","4.66","165134215.82","n/a","United States","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/hchc",
"HCA","HCA Holdings, Inc.","81.72","30942967464","n/a","United States","2011","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hca",
"HCI","HCI Group, Inc.","27.97","290562429.2","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/hci",
"HCJ","HCI Group, Inc.","25.69","0","n/a","United States","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/hcj",
"HCP","HCP, Inc.","36.08","16870410803.84","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hcp",
"HDS","HD Supply Holdings, Inc.","32.33","6499168672.53","n/a","United States","2013","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/hds",
"HW","Headwaters Incorporated","17.57","1302095393.55","n/a","United States","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/hw",
"HIIQ","Health Insurance Innovations, Inc.","4.85","71546002.05","n/a","United States","2013","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/hiiq",
"HR","Healthcare Realty Trust Incorporated","33.1","3835045671.7","n/a","United States","1993","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hr",
"HCSG","Healthcare Services Group, Inc.","36.82","2668014020","n/a","United States","1983","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hcsg",
"HTA","Healthcare Trust of America, Inc.","31.88","4397608589.64","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hta",
"HQY","HealthEquity, Inc.","35.43","2077670612.52","n/a","United States","2014","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/hqy",
"HLS","HealthSouth Corporation","39.99","3589918975.83","n/a","United States","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hls",
"HLS.WS","HealthSouth Corporation","n/a","0","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hls.ws",
"HSTM","HealthStream, Inc.","27.78","881710364.52","n/a","United States","2000","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/hstm",
"HWAY","Healthways, Inc.","25.9","951536733","n/a","United States","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hway",
"HTLD","Heartland Express, Inc.","18.17","1513315614.15","n/a","United States","1986","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/htld",
"HTLF","Heartland Financial USA, Inc.","37.65","924136832.55","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/htlf",
"HTBX","Heat Biologics, Inc.","1.3","25338323.4","n/a","United States","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/htbx",
"HL","Hecla Mining Company","5.77","2229758459.57","n/a","United States","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/hl",
"HL^B","Hecla Mining Company","57","0","n/a","United States","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/hl^b",
"HEI","Heico Corporation","66.92","4500556104.52","n/a","United States","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/hei",
"HSII","Heidrick & Struggles International, Inc.","20.35","378136129.8","n/a","United States","1999","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/hsii",
"HMNY","Helios and Matheson Analytics Inc","9.8","22838292.4","n/a","United States","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/hmny",
